Frame,Time (s),Label,Confidence,"Bounding Box (x1,y1,x2,y2)"
87,1.45,With Helmet,0.47,"(414,116,482,188)"
87,1.45,No Helmet,0.41,"(467,105,509,175)"
88,1.47,With Helmet,0.68,"(264,64,322,138)"
88,1.47,No Helmet,0.64,"(611,43,655,105)"
88,1.47,With Helmet,0.45,"(414,114,483,187)"
88,1.47,No Helmet,0.44,"(466,105,509,175)"
89,1.48,With Helmet,0.67,"(262,58,321,137)"
89,1.48,With Helmet,0.56,"(412,111,483,186)"
89,1.48,No Helmet,0.42,"(613,40,660,105)"
89,1.48,With Helmet,0.35,"(430,115,483,187)"
89,1.48,No Helmet,0.35,"(467,104,509,174)"
90,1.5,With Helmet,0.59,"(410,109,483,184)"
90,1.5,With Helmet,0.56,"(262,57,322,137)"
90,1.5,No Helmet,0.39,"(617,38,666,107)"
90,1.5,No Helmet,0.35,"(469,101,510,173)"
90,1.5,With Helmet,0.29,"(430,113,484,186)"
91,1.52,No Helmet,0.60,"(622,39,670,104)"
91,1.52,No Helmet,0.48,"(470,100,510,172)"
91,1.52,With Helmet,0.44,"(413,109,484,184)"
91,1.52,With Helmet,0.41,"(261,59,320,137)"
91,1.52,With Helmet,0.25,"(432,112,484,185)"
92,1.53,No Helmet,0.64,"(623,38,671,101)"
92,1.53,No Helmet,0.48,"(469,99,510,172)"
92,1.53,With Helmet,0.38,"(412,108,483,184)"
93,1.55,With Helmet,0.50,"(412,108,483,185)"
93,1.55,No Helmet,0.49,"(627,36,674,97)"
93,1.55,No Helmet,0.39,"(470,99,510,171)"
94,1.57,No Helmet,0.57,"(629,36,677,99)"
94,1.57,With Helmet,0.47,"(412,108,484,185)"
94,1.57,No Helmet,0.40,"(472,99,510,170)"
95,1.58,No Helmet,0.59,"(634,37,680,98)"
95,1.58,With Helmet,0.51,"(411,107,484,185)"
95,1.58,With Helmet,0.39,"(253,52,307,132)"
95,1.58,No Helmet,0.37,"(472,98,510,170)"
96,1.6,With Helmet,0.57,"(411,106,483,184)"
96,1.6,No Helmet,0.52,"(635,31,682,96)"
96,1.6,With Helmet,0.46,"(253,50,307,130)"
96,1.6,No Helmet,0.33,"(473,98,510,170)"
97,1.62,With Helmet,0.57,"(411,106,484,183)"
97,1.62,No Helmet,0.51,"(637,31,687,95)"
97,1.62,With Helmet,0.35,"(252,49,305,129)"
97,1.62,No Helmet,0.34,"(474,97,510,169)"
98,1.63,With Helmet,0.53,"(411,104,483,183)"
98,1.63,No Helmet,0.52,"(642,30,692,95)"
98,1.63,No Helmet,0.35,"(294,3,330,56)"
98,1.63,No Helmet,0.35,"(473,96,511,169)"
99,1.65,No Helmet,0.69,"(646,30,694,88)"
99,1.65,No Helmet,0.47,"(297,0,335,50)"
99,1.65,With Helmet,0.42,"(411,104,484,184)"
99,1.65,No Helmet,0.35,"(473,96,511,168)"
100,1.67,No Helmet,0.68,"(649,29,697,89)"
100,1.67,No Helmet,0.55,"(300,0,338,49)"
100,1.67,No Helmet,0.39,"(473,96,511,168)"
100,1.67,With Helmet,0.29,"(412,102,485,182)"
101,1.69,No Helmet,0.71,"(651,28,699,89)"
101,1.69,No Helmet,0.53,"(303,0,342,48)"
101,1.69,No Helmet,0.48,"(469,93,511,167)"
101,1.69,With Helmet,0.26,"(416,102,483,181)"
102,1.7,No Helmet,0.77,"(655,26,704,88)"
102,1.7,No Helmet,0.52,"(470,93,511,166)"
102,1.7,No Helmet,0.50,"(306,0,345,47)"
102,1.7,With Helmet,0.31,"(241,43,300,121)"
102,1.7,With Helmet,0.29,"(412,101,483,181)"
103,1.72,No Helmet,0.75,"(657,26,704,85)"
103,1.72,No Helmet,0.57,"(310,0,350,46)"
103,1.72,No Helmet,0.54,"(470,94,511,166)"
103,1.72,With Helmet,0.49,"(239,43,298,122)"
103,1.72,With Helmet,0.30,"(412,101,482,181)"
104,1.74,No Helmet,0.70,"(658,25,708,89)"
104,1.74,No Helmet,0.59,"(313,0,351,46)"
104,1.74,With Helmet,0.49,"(237,44,296,123)"
104,1.74,No Helmet,0.46,"(470,93,511,167)"
